"aca.fav","state","race","income","sex","sex.race","age","education","month","year","polling.org"
1,"VA","Other","$75,000+","Female","Female.Other","45-64","postgraduate","April","2012","Kaiser"
1,"TX","Hispanic","$20,000-$40,000","Female","Female.Hispanic","45-64","high school graduate","April","2012","Kaiser"
0,"TX","White","$20,000-$40,000","Male","Male.White","65+","college graduate","April","2012","Kaiser"
1,"NC","White","$75,000+","Male","Male.White","18-29","some college","April","2012","Kaiser"
0,"WV","White","less than $20,000","Female","Female.White","65+","less than a high school education","April","2012","Kaiser"
0,"NC","Hispanic","$75,000+","Female","Female.Hispanic","45-64","postgraduate","April","2012","Kaiser"
0,"AR","White","$40,000-$75,000","Female","Female.White","65+","some college","April","2012","Kaiser"
0,"MD","White","$75,000+","Female","Female.White","65+","college graduate","April","2012","Kaiser"
0,"TX","Hispanic","$75,000+","Male","Male.Hispanic","30-44","college graduate","April","2012","Kaiser"
1,"TX","Hispanic","less than $20,000","Male","Male.Hispanic","45-64","some college","April","2012","Kaiser"
0,"FL","White","less than $20,000","Female","Female.White","18-29","less than a high school education","April","2012","Kaiser"
0,"MD","White","$75,000+","Male","Male.White","30-44","college graduate","April","2012","Kaiser"
1,"TX","Black","$75,000+","Female","Female.Black","18-29","high school graduate","April","2012","Kaiser"
1,"TX","Other","$40,000-$75,000","Female","Female.Other","30-44","college graduate","April","2012","Kaiser"
1,"VA","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"GA","White","$20,000-$40,000","Male","Male.White","45-64","postgraduate","April","2012","Kaiser"
0,"GA","White","$20,000-$40,000","Male","Male.White","45-64","postgraduate","April","2012","Kaiser"
0,"TX","White","$40,000-$75,000","Female","Female.White","45-64","some college","April","2012","Kaiser"
0,"TX","Hispanic","less than $20,000","Female","Female.Hispanic","45-64","some college","April","2012","Kaiser"
1,"MI","White","$40,000-$75,000","Male","Male.White","65+","some college","April","2012","Kaiser"
1,"AR","White","less than $20,000","Female","Female.White","45-64","some college","April","2012","Kaiser"
0,"OH","White","less than $20,000","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
0,"IL","White","$20,000-$40,000","Male","Male.White","65+","postgraduate","April","2012","Kaiser"
0,"FL","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2012","Kaiser"
0,"WI","White","$75,000+","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
0,"WI","White","$40,000-$75,000","Male","Male.White","45-64","some college","April","2012","Kaiser"
0,"AZ","White","$20,000-$40,000","Female","Female.White","45-64","high school graduate","April","2012","Kaiser"
1,"AZ","White","$75,000+","Male","Male.White","65+","postgraduate","April","2012","Kaiser"
0,"OH","White","$20,000-$40,000","Female","Female.White","65+","some college","April","2012","Kaiser"
0,"CO","White","$75,000+","Female","Female.White","45-64","some college","April","2012","Kaiser"
1,"CO","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","April","2012","Kaiser"
0,"OH","White","less than $20,000","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
1,"CO","White","$75,000+","Female","Female.White","45-64","college graduate","April","2012","Kaiser"
1,"TX","Hispanic","less than $20,000","Female","Female.Hispanic","30-44","high school graduate","April","2012","Kaiser"
0,"AZ","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","April","2012","Kaiser"
1,"NM","White","$75,000+","Female","Female.White","65+","postgraduate","April","2012","Kaiser"
0,"OH","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","April","2012","Kaiser"
0,"MI","White","$75,000+","Male","Male.White","45-64","some college","April","2012","Kaiser"
1,"CO","White","$75,000+","Female","Female.White","45-64","college graduate","April","2012","Kaiser"
0,"AZ","White","less than $20,000","Female","Female.White","65+","less than a high school education","April","2012","Kaiser"
1,"OR","Other","$20,000-$40,000","Female","Female.Other","18-29","some college","April","2012","Kaiser"
0,"PA","White","less than $20,000","Female","Female.White","65+","high school graduate","April","2012","Kaiser"
1,"AK","White","$40,000-$75,000","Female","Female.White","45-64","postgraduate","April","2012","Kaiser"
0,"NY","White","$20,000-$40,000","Male","Male.White","45-64","some college","April","2012","Kaiser"
0,"NY","White","less than $20,000","Female","Female.White","65+","less than a high school education","April","2012","Kaiser"
0,"NJ","White","$40,000-$75,000","Female","Female.White","30-44","high school graduate","April","2012","Kaiser"
1,"NY","Black","$75,000+","Female","Female.Black","45-64","college graduate","April","2012","Kaiser"
0,"CA","White","less than $20,000","Female","Female.White","30-44","some college","April","2012","Kaiser"
0,"NY","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2012","Kaiser"
0,"KS","White","$75,000+","Male","Male.White","45-64","less than a high school education","April","2012","Kaiser"
1,"AL","White","$75,000+","Male","Male.White","65+","postgraduate","April","2012","Kaiser"
1,"KY","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2012","Kaiser"
1,"MN","White","$20,000-$40,000","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
0,"CA","Black","less than $20,000","Male","Male.Black","18-29","some college","April","2012","Kaiser"
0,"KS","White","$40,000-$75,000","Male","Male.White","45-64","postgraduate","April","2012","Kaiser"
0,"WA","White","$20,000-$40,000","Male","Male.White","30-44","some college","April","2012","Kaiser"
1,"CA","White","$75,000+","Male","Male.White","45-64","some college","April","2012","Kaiser"
1,"MA","White","less than $20,000","Female","Female.White","65+","some college","April","2012","Kaiser"
0,"CA","Hispanic","$40,000-$75,000","Female","Female.Hispanic","30-44","high school graduate","April","2012","Kaiser"
1,"TX","Hispanic","$20,000-$40,000","Female","Female.Hispanic","65+","high school graduate","April","2012","Kaiser"
0,"MN","White","less than $20,000","Female","Female.White","65+","high school graduate","April","2012","Kaiser"
0,"AL","White","less than $20,000","Female","Female.White","65+","less than a high school education","April","2012","Kaiser"
1,"MA","White","$40,000-$75,000","Female","Female.White","30-44","college graduate","April","2012","Kaiser"
1,"RI","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","April","2012","Kaiser"
0,"MA","White","$75,000+","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"PA","Black","$40,000-$75,000","Female","Female.Black","45-64","postgraduate","April","2012","Kaiser"
0,"NY","White","less than $20,000","Male","Male.White","65+","some college","April","2012","Kaiser"
0,"IN","White","less than $20,000","Female","Female.White","45-64","some college","April","2012","Kaiser"
0,"NJ","White","$20,000-$40,000","Female","Female.White","45-64","some college","April","2012","Kaiser"
0,"TN","White","less than $20,000","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"MO","White","$75,000+","Male","Male.White","18-29","college graduate","April","2012","Kaiser"
0,"ND","White","$20,000-$40,000","Male","Male.White","65+","high school graduate","April","2012","Kaiser"
0,"AL","Other","$40,000-$75,000","Female","Female.Other","45-64","college graduate","April","2012","Kaiser"
0,"KY","White","less than $20,000","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
0,"AL","Black","less than $20,000","Male","Male.Black","30-44","high school graduate","April","2012","Kaiser"
0,"NY","White","$20,000-$40,000","Male","Male.White","30-44","some college","April","2012","Kaiser"
1,"NJ","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","April","2012","Kaiser"
0,"NY","White","$75,000+","Male","Male.White","45-64","some college","April","2012","Kaiser"
1,"NJ","White","$75,000+","Female","Female.White","45-64","high school graduate","April","2012","Kaiser"
0,"PA","White","$40,000-$75,000","Male","Male.White","65+","high school graduate","April","2012","Kaiser"
1,"NY","White","$40,000-$75,000","Male","Male.White","65+","college graduate","April","2012","Kaiser"
1,"NY","White","$20,000-$40,000","Female","Female.White","45-64","college graduate","April","2012","Kaiser"
1,"OH","White","$40,000-$75,000","Male","Male.White","45-64","some college","April","2012","Kaiser"
0,"VA","White","less than $20,000","Female","Female.White","65+","less than a high school education","April","2012","Kaiser"
1,"IL","White","$75,000+","Female","Female.White","65+","postgraduate","April","2012","Kaiser"
1,"MN","White","$75,000+","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"MN","White","$40,000-$75,000","Female","Female.White","18-29","some college","April","2012","Kaiser"
1,"IL","Black","$20,000-$40,000","Female","Female.Black","18-29","college graduate","April","2012","Kaiser"
1,"TN","White","$20,000-$40,000","Female","Female.White","18-29","high school graduate","April","2012","Kaiser"
1,"OH","Black","$75,000+","Male","Male.Black","45-64","high school graduate","April","2012","Kaiser"
1,"KS","White","$20,000-$40,000","Male","Male.White","18-29","some college","April","2012","Kaiser"
1,"NY","White","less than $20,000","Male","Male.White","18-29","some college","April","2012","Kaiser"
1,"NY","White","$75,000+","Female","Female.White","18-29","college graduate","April","2012","Kaiser"
1,"MI","Black","$40,000-$75,000","Male","Male.Black","45-64","less than a high school education","April","2012","Kaiser"
1,"NE","White","less than $20,000","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
0,"LA","White","$75,000+","Female","Female.White","30-44","some college","April","2012","Kaiser"
0,"NJ","White","$40,000-$75,000","Male","Male.White","65+","high school graduate","April","2012","Kaiser"
0,"TX","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2012","Kaiser"
1,"PA","White","$75,000+","Female","Female.White","45-64","college graduate","April","2012","Kaiser"
0,"FL","White","$75,000+","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
0,"NH","White","$75,000+","Female","Female.White","30-44","high school graduate","April","2012","Kaiser"
0,"NY","White","$75,000+","Male","Male.White","18-29","college graduate","April","2012","Kaiser"
1,"FL","Black","$75,000+","Male","Male.Black","45-64","postgraduate","April","2012","Kaiser"
1,"MI","White","$20,000-$40,000","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
1,"WI","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
0,"KY","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2012","Kaiser"
1,"MN","White","$40,000-$75,000","Male","Male.White","18-29","some college","April","2012","Kaiser"
1,"CA","White","$40,000-$75,000","Male","Male.White","30-44","college graduate","April","2012","Kaiser"
1,"CA","Black","$40,000-$75,000","Female","Female.Black","45-64","some college","April","2012","Kaiser"
0,"UT","White","$20,000-$40,000","Male","Male.White","30-44","some college","April","2012","Kaiser"
1,"AZ","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2012","Kaiser"
1,"UT","White","$75,000+","Female","Female.White","18-29","some college","April","2012","Kaiser"
0,"AK","Other","$40,000-$75,000","Male","Male.Other","45-64","high school graduate","April","2012","Kaiser"
1,"OR","Hispanic","$40,000-$75,000","Male","Male.Hispanic","30-44","college graduate","April","2012","Kaiser"
0,"CA","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
1,"UT","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2012","Kaiser"
1,"CA","White","$75,000+","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"WA","White","$40,000-$75,000","Male","Male.White","45-64","postgraduate","April","2012","Kaiser"
0,"CA","Hispanic","$75,000+","Male","Male.Hispanic","30-44","less than a high school education","April","2012","Kaiser"
1,"CA","Black","$75,000+","Female","Female.Black","30-44","postgraduate","April","2012","Kaiser"
0,"CA","White","$75,000+","Male","Male.White","45-64","some college","April","2012","Kaiser"
1,"CA","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2012","Kaiser"
1,"CA","White","less than $20,000","Female","Female.White","18-29","high school graduate","April","2012","Kaiser"
0,"CA","White","$75,000+","Male","Male.White","30-44","college graduate","April","2012","Kaiser"
0,"MT","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"MT","White","$75,000+","Female","Female.White","30-44","college graduate","April","2012","Kaiser"
0,"MO","White","$75,000+","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
0,"FL","White","$40,000-$75,000","Male","Male.White","65+","college graduate","April","2012","Kaiser"
1,"IN","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
1,"IL","White","$20,000-$40,000","Female","Female.White","65+","postgraduate","April","2012","Kaiser"
1,"OH","Hispanic","less than $20,000","Male","Male.Hispanic","30-44","some college","April","2012","Kaiser"
0,"TX","White","$20,000-$40,000","Female","Female.White","30-44","college graduate","April","2012","Kaiser"
0,"IL","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","April","2012","Kaiser"
0,"OH","White","less than $20,000","Male","Male.White","18-29","some college","April","2012","Kaiser"
0,"TX","White","$40,000-$75,000","Female","Female.White","45-64","postgraduate","April","2012","Kaiser"
0,"NJ","White","$75,000+","Male","Male.White","65+","high school graduate","April","2012","Kaiser"
0,"MI","White","$20,000-$40,000","Female","Female.White","45-64","high school graduate","April","2012","Kaiser"
1,"NY","White","$75,000+","Female","Female.White","30-44","some college","April","2012","Kaiser"
1,"NY","White","$40,000-$75,000","Female","Female.White","45-64","postgraduate","April","2012","Kaiser"
0,"MI","White","less than $20,000","Male","Male.White","45-64","less than a high school education","April","2012","Kaiser"
0,"OH","Black","less than $20,000","Female","Female.Black","65+","less than a high school education","April","2012","Kaiser"
0,"NY","White","$75,000+","Female","Female.White","30-44","college graduate","April","2012","Kaiser"
0,"MO","White","$75,000+","Male","Male.White","45-64","some college","April","2012","Kaiser"
1,"NJ","White","$75,000+","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"NY","Black","$40,000-$75,000","Female","Female.Black","18-29","high school graduate","April","2012","Kaiser"
1,"MO","White","$20,000-$40,000","Male","Male.White","18-29","high school graduate","April","2012","Kaiser"
0,"MA","Hispanic","$40,000-$75,000","Male","Male.Hispanic","30-44","high school graduate","April","2012","Kaiser"
0,"NY","White","$75,000+","Male","Male.White","65+","less than a high school education","April","2012","Kaiser"
0,"NC","White","$40,000-$75,000","Male","Male.White","65+","postgraduate","April","2012","Kaiser"
1,"NC","White","$40,000-$75,000","Male","Male.White","30-44","some college","April","2012","Kaiser"
1,"GA","Black","$40,000-$75,000","Male","Male.Black","30-44","less than a high school education","April","2012","Kaiser"
0,"NC","White","less than $20,000","Male","Male.White","30-44","high school graduate","April","2012","Kaiser"
0,"GA","White","less than $20,000","Female","Female.White","18-29","high school graduate","April","2012","Kaiser"
0,"AL","White","$75,000+","Female","Female.White","30-44","college graduate","April","2012","Kaiser"
0,"MD","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
0,"TX","White","less than $20,000","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
0,"AR","White","$75,000+","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"FL","Black","$20,000-$40,000","Male","Male.Black","30-44","college graduate","April","2012","Kaiser"
0,"KY","White","$40,000-$75,000","Female","Female.White","18-29","high school graduate","April","2012","Kaiser"
1,"FL","White","$20,000-$40,000","Male","Male.White","30-44","some college","April","2012","Kaiser"
1,"GA","Black","$20,000-$40,000","Male","Male.Black","30-44","some college","April","2012","Kaiser"
0,"NC","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","April","2012","Kaiser"
1,"LA","Black","$75,000+","Female","Female.Black","45-64","college graduate","April","2012","Kaiser"
1,"CA","White","less than $20,000","Female","Female.White","45-64","some college","April","2012","Kaiser"
0,"TX","Hispanic","$40,000-$75,000","Male","Male.Hispanic","18-29","some college","April","2012","Kaiser"
0,"VA","Other","$40,000-$75,000","Male","Male.Other","30-44","college graduate","April","2012","Kaiser"
1,"FL","Hispanic","$20,000-$40,000","Male","Male.Hispanic","18-29","high school graduate","April","2012","Kaiser"
0,"LA","White","$40,000-$75,000","Male","Male.White","18-29","less than a high school education","April","2012","Kaiser"
0,"KY","White","$20,000-$40,000","Male","Male.White","30-44","high school graduate","April","2012","Kaiser"
0,"MS","Hispanic","less than $20,000","Female","Female.Hispanic","18-29","some college","April","2012","Kaiser"
1,"CO","White","$75,000+","Female","Female.White","30-44","college graduate","April","2012","Kaiser"
0,"ID","White","$40,000-$75,000","Male","Male.White","65+","high school graduate","April","2012","Kaiser"
1,"CA","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","April","2012","Kaiser"
1,"CA","White","$20,000-$40,000","Male","Male.White","18-29","postgraduate","April","2012","Kaiser"
0,"AZ","White","$75,000+","Male","Male.White","65+","some college","April","2012","Kaiser"
1,"AZ","White","less than $20,000","Female","Female.White","45-64","some college","April","2012","Kaiser"
1,"MT","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2012","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Male","Male.Hispanic","45-64","some college","April","2012","Kaiser"
1,"WA","White","$20,000-$40,000","Female","Female.White","65+","some college","April","2012","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","some college","April","2012","Kaiser"
1,"WA","White","$75,000+","Male","Male.White","65+","postgraduate","April","2012","Kaiser"
1,"CA","White","$40,000-$75,000","Female","Female.White","30-44","high school graduate","April","2012","Kaiser"
0,"NM","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"CA","Hispanic","$40,000-$75,000","Female","Female.Hispanic","45-64","high school graduate","April","2012","Kaiser"
0,"UT","White","$20,000-$40,000","Female","Female.White","45-64","some college","April","2012","Kaiser"
0,"AK","White","$40,000-$75,000","Male","Male.White","18-29","college graduate","April","2012","Kaiser"
1,"WI","Black","less than $20,000","Male","Male.Black","18-29","some college","April","2012","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","45-64","high school graduate","April","2012","Kaiser"
1,"CA","White","$75,000+","Male","Male.White","30-44","college graduate","April","2012","Kaiser"
1,"HI","White","$75,000+","Male","Male.White","30-44","high school graduate","April","2012","Kaiser"
0,"ID","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2012","Kaiser"
1,"CA","Other","$75,000+","Female","Female.Other","45-64","some college","April","2012","Kaiser"
0,"WA","White","$20,000-$40,000","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","high school graduate","April","2012","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","high school graduate","April","2012","Kaiser"
1,"CA","White","$75,000+","Male","Male.White","65+","postgraduate","April","2012","Kaiser"
1,"CA","Hispanic","less than $20,000","Female","Female.Hispanic","30-44","less than a high school education","April","2012","Kaiser"
1,"TX","Hispanic","$20,000-$40,000","Male","Male.Hispanic","30-44","high school graduate","April","2012","Kaiser"
1,"KY","Hispanic","$40,000-$75,000","Male","Male.Hispanic","45-64","high school graduate","April","2012","Kaiser"
1,"MI","White","$20,000-$40,000","Male","Male.White","65+","college graduate","April","2012","Kaiser"
1,"PA","White","$75,000+","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
1,"CA","Hispanic","$40,000-$75,000","Female","Female.Hispanic","30-44","high school graduate","April","2012","Kaiser"
1,"MI","Hispanic","$20,000-$40,000","Male","Male.Hispanic","45-64","high school graduate","April","2012","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Male","Male.Hispanic","30-44","high school graduate","April","2012","Kaiser"
1,"MT","Hispanic","$40,000-$75,000","Female","Female.Hispanic","30-44","high school graduate","April","2012","Kaiser"
1,"CA","Hispanic","less than $20,000","Female","Female.Hispanic","30-44","less than a high school education","April","2012","Kaiser"
1,"DC","Black","less than $20,000","Female","Female.Black","45-64","less than a high school education","April","2012","Kaiser"
1,"CA","Hispanic","$40,000-$75,000","Female","Female.Hispanic","18-29","high school graduate","April","2012","Kaiser"
0,"SC","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"AL","Black","less than $20,000","Female","Female.Black","45-64","some college","April","2012","Kaiser"
0,"AR","White","$75,000+","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"AR","White","$75,000+","Female","Female.White","30-44","postgraduate","April","2012","Kaiser"
1,"AZ","Hispanic","less than $20,000","Male","Male.Hispanic","30-44","less than a high school education","April","2012","Kaiser"
0,"FL","White","$75,000+","Male","Male.White","45-64","some college","April","2012","Kaiser"
0,"CO","Hispanic","less than $20,000","Male","Male.Hispanic","18-29","some college","April","2012","Kaiser"
1,"PA","White","$75,000+","Female","Female.White","45-64","some college","April","2012","Kaiser"
1,"TX","Black","$75,000+","Female","Female.Black","45-64","college graduate","April","2012","Kaiser"
1,"OK","Black","less than $20,000","Female","Female.Black","30-44","high school graduate","April","2012","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","less than a high school education","April","2012","Kaiser"
1,"CA","Hispanic","less than $20,000","Female","Female.Hispanic","30-44","less than a high school education","April","2012","Kaiser"
1,"CO","Hispanic","less than $20,000","Female","Female.Hispanic","30-44","high school graduate","April","2012","Kaiser"
0,"GA","White","less than $20,000","Female","Female.White","45-64","less than a high school education","April","2012","Kaiser"
0,"MD","Black","$40,000-$75,000","Male","Male.Black","18-29","college graduate","April","2012","Kaiser"
0,"PA","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
0,"TX","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
1,"GA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","45-64","high school graduate","April","2012","Kaiser"
1,"TX","Hispanic","$20,000-$40,000","Male","Male.Hispanic","30-44","less than a high school education","April","2012","Kaiser"
0,"GA","White","$75,000+","Female","Female.White","30-44","postgraduate","April","2012","Kaiser"
1,"TX","White","$75,000+","Male","Male.White","45-64","some college","April","2012","Kaiser"
0,"FL","White","$20,000-$40,000","Female","Female.White","65+","high school graduate","April","2012","Kaiser"
0,"NH","White","$40,000-$75,000","Female","Female.White","45-64","some college","April","2012","Kaiser"
0,"MI","White","$75,000+","Male","Male.White","65+","postgraduate","April","2012","Kaiser"
0,"MN","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","April","2012","Kaiser"
1,"IL","Other","$75,000+","Male","Male.Other","30-44","college graduate","April","2012","Kaiser"
1,"TX","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","some college","April","2012","Kaiser"
1,"TX","Hispanic","$40,000-$75,000","Female","Female.Hispanic","30-44","high school graduate","April","2012","Kaiser"
0,"FL","White","less than $20,000","Male","Male.White","30-44","postgraduate","April","2012","Kaiser"
1,"MN","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2012","Kaiser"
1,"MN","White","$40,000-$75,000","Female","Female.White","65+","less than a high school education","April","2012","Kaiser"
1,"IL","White","$75,000+","Female","Female.White","45-64","college graduate","April","2012","Kaiser"
0,"ND","White","$75,000+","Male","Male.White","30-44","postgraduate","April","2012","Kaiser"
1,"IL","White","$75,000+","Female","Female.White","30-44","postgraduate","April","2012","Kaiser"
1,"MI","White","$20,000-$40,000","Male","Male.White","18-29","high school graduate","April","2012","Kaiser"
1,"IA","White","$20,000-$40,000","Female","Female.White","45-64","high school graduate","April","2012","Kaiser"
1,"NY","White","$40,000-$75,000","Male","Male.White","18-29","some college","April","2012","Kaiser"
1,"IL","Black","$20,000-$40,000","Female","Female.Black","45-64","less than a high school education","April","2012","Kaiser"
0,"MN","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
1,"IN","White","$20,000-$40,000","Female","Female.White","30-44","postgraduate","April","2012","Kaiser"
0,"NH","White","$75,000+","Male","Male.White","45-64","some college","April","2012","Kaiser"
1,"PA","Hispanic","$20,000-$40,000","Male","Male.Hispanic","30-44","high school graduate","April","2012","Kaiser"
1,"PA","Hispanic","less than $20,000","Female","Female.Hispanic","65+","less than a high school education","April","2012","Kaiser"
1,"PA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","less than a high school education","April","2012","Kaiser"
1,"VA","Hispanic","$40,000-$75,000","Male","Male.Hispanic","65+","high school graduate","April","2012","Kaiser"
0,"WI","White","$75,000+","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"IN","White","$75,000+","Female","Female.White","30-44","some college","April","2012","Kaiser"
1,"TX","Hispanic","$20,000-$40,000","Male","Male.Hispanic","45-64","less than a high school education","April","2012","Kaiser"
1,"TX","Hispanic","$20,000-$40,000","Female","Female.Hispanic","45-64","less than a high school education","April","2012","Kaiser"
1,"GA","Black","$20,000-$40,000","Female","Female.Black","18-29","high school graduate","April","2012","Kaiser"
1,"NJ","Hispanic","$75,000+","Male","Male.Hispanic","45-64","high school graduate","April","2012","Kaiser"
0,"KS","White","$75,000+","Female","Female.White","18-29","some college","April","2012","Kaiser"
0,"CO","Hispanic","less than $20,000","Male","Male.Hispanic","30-44","less than a high school education","April","2012","Kaiser"
1,"MT","Hispanic","less than $20,000","Female","Female.Hispanic","65+","less than a high school education","April","2012","Kaiser"
1,"NM","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","high school graduate","April","2012","Kaiser"
1,"VA","White","$75,000+","Male","Male.White","65+","college graduate","April","2012","Kaiser"
1,"OK","Black","$40,000-$75,000","Female","Female.Black","30-44","college graduate","April","2012","Kaiser"
0,"OR","White","$75,000+","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
0,"NC","Other","$40,000-$75,000","Male","Male.Other","45-64","some college","April","2012","Kaiser"
1,"LA","White","$20,000-$40,000","Female","Female.White","18-29","some college","April","2012","Kaiser"
0,"FL","White","$75,000+","Female","Female.White","45-64","college graduate","April","2012","Kaiser"
1,"CA","Hispanic","less than $20,000","Male","Male.Hispanic","65+","less than a high school education","April","2012","Kaiser"
0,"NY","White","$75,000+","Male","Male.White","45-64","college graduate","April","2012","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","less than a high school education","April","2012","Kaiser"
0,"TX","White","$75,000+","Male","Male.White","45-64","high school graduate","April","2012","Kaiser"
0,"TX","Hispanic","$40,000-$75,000","Male","Male.Hispanic","30-44","some college","April","2012","Kaiser"
1,"OR","Hispanic","$20,000-$40,000","Male","Male.Hispanic","45-64","high school graduate","April","2012","Kaiser"
0,"AR","White","$20,000-$40,000","Male","Male.White","45-64","less than a high school education","April","2012","Kaiser"
0,"TX","Hispanic","$20,000-$40,000","Male","Male.Hispanic","45-64","less than a high school education","April","2012","Kaiser"
1,"FL","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2012","Kaiser"
0,"AL","White","$40,000-$75,000","Male","Male.White","45-64","some college","April","2012","Kaiser"
1,"MO","Black","$20,000-$40,000","Male","Male.Black","65+","high school graduate","April","2012","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","less than a high school education","April","2012","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Male","Male.Hispanic","45-64","less than a high school education","April","2012","Kaiser"
1,"OK","White","$40,000-$75,000","Female","Female.White","65+","some college","April","2012","Kaiser"
0,"TX","White","$75,000+","Female","Female.White","65+","college graduate","April","2012","Kaiser"
1,"NC","Black","$20,000-$40,000","Male","Male.Black","18-29","college graduate","April","2012","Kaiser"
1,"TX","White","$20,000-$40,000","Male","Male.White","18-29","some college","April","2012","Kaiser"
1,"SD","White","$20,000-$40,000","Female","Female.White","18-29","college graduate","April","2012","Kaiser"
0,"NV","White","$40,000-$75,000","Male","Male.White","45-64","some college","April","2012","Kaiser"
0,"UT","White","$75,000+","Male","Male.White","30-44","college graduate","April","2012","Kaiser"
0,"WA","White","$40,000-$75,000","Female","Female.White","65+","some college","April","2012","Kaiser"
0,"AZ","White","$40,000-$75,000","Male","Male.White","30-44","college graduate","April","2012","Kaiser"
0,"CA","White","$75,000+","Male","Male.White","30-44","some college","April","2012","Kaiser"
1,"OR","White","$40,000-$75,000","Female","Female.White","65+","some college","April","2012","Kaiser"
0,"CA","Hispanic","$40,000-$75,000","Male","Male.Hispanic","18-29","some college","April","2012","Kaiser"
1,"CA","White","$20,000-$40,000","Female","Female.White","45-64","less than a high school education","April","2012","Kaiser"
0,"CA","White","$40,000-$75,000","Female","Female.White","18-29","college graduate","April","2012","Kaiser"
